timestamp,open,high,low,close,volume
2026-04-08 21:00:00,71378.7,71750.0,71333.1,71548.8,96.48373053
2026-04-08 22:00:00,71548.9,71574.2,71059.6,71066.1,117.52220564
2026-04-08 23:00:00,71066.1,71210.5,70901.6,71072.5,116.0866481
2026-04-09 00:00:00,71073.0,71134.8,70654.5,70809.0,260.18228022
2026-04-09 01:00:00,70809.1,70953.0,70463.1,70923.6,262.74176316
2026-04-09 02:00:00,70923.5,71199.8,70810.1,71059.7,189.60695523
2026-04-09 03:00:00,71059.7,71120.4,70841.2,70994.1,80.19913668
2026-04-09 04:00:00,70994.1,71005.0,70729.8,70789.4,93.50545099
2026-04-09 05:00:00,70789.5,71085.6,70694.8,70995.1,119.99837672
2026-04-09 06:00:00,70995.1,71085.9,70811.9,71026.0,67.65235869
2026-04-09 07:00:00,71027.2,71116.3,70934.1,70972.5,290.13521992
2026-04-09 08:00:00,70972.4,71393.2,70866.1,71250.0,277.34424684
2026-04-09 09:00:00,71250.1,71576.9,71107.1,71537.0,207.48361536
2026-04-09 10:00:00,71535.9,71540.8,71279.8,71279.9,108.94714181
2026-04-09 11:00:00,71279.9,71356.9,71053.7,71156.5,114.07184879
2026-04-09 12:00:00,71154.1,71328.4,71038.1,71286.3,82.61354846
2026-04-09 13:00:00,71286.4,71359.1,70636.6,70803.1,359.55949027
2026-04-09 14:00:00,70803.1,71251.5,70531.6,71123.0,272.94480646
2026-04-09 15:00:00,71123.1,72350.0,70929.0,72144.4,742.14610403
2026-04-09 16:00:00,72144.4,72399.9,71727.2,72076.2,410.68414671
2026-04-09 17:00:00,72076.3,72550.0,72064.1,72343.8,428.13695748
2026-04-09 18:00:00,72344.0,72376.0,71738.1,71879.0,264.27432997
2026-04-09 19:00:00,71879.5,72297.2,71745.0,72095.6,260.88362972
2026-04-09 20:00:00,72092.7,72446.1,71980.4,72412.0,141.8219876
2026-04-09 21:00:00,72412.1,72698.2,72126.5,72259.9,190.93441905
2026-04-09 22:00:00,72262.0,73130.0,71942.9,71942.9,404.500989
2026-04-09 23:00:00,71942.9,72028.9,71588.0,71786.9,309.45557538
2026-04-10 00:00:00,71795.0,72027.0,71585.1,71969.8,243.20453843
2026-04-10 01:00:00,71967.4,72388.1,71673.5,72164.0,219.03553764
2026-04-10 02:00:00,72164.1,72295.5,71921.0,71962.2,143.87196575
2026-04-10 03:00:00,71962.2,72021.9,71817.2,71875.0,124.59901982
2026-04-10 04:00:00,71875.1,72217.3,71811.2,72122.0,184.03954889
2026-04-10 05:00:00,72123.9,72277.7,72009.7,72129.0,131.62078204
2026-04-10 06:00:00,72128.9,72185.2,71795.7,71808.9,116.11502497
2026-04-10 07:00:00,71808.9,71845.5,71428.5,71485.4,375.66150668
2026-04-10 08:00:00,71485.5,71764.0,71428.0,71610.3,131.6899798
2026-04-10 09:00:00,71610.3,71875.6,71600.0,71777.4,85.86045209
2026-04-10 10:00:00,71777.5,71930.3,71708.3,71904.5,89.65972065
2026-04-10 11:00:00,71904.5,72268.0,71900.0,72124.3,220.4020151
2026-04-10 12:00:00,72124.3,72454.4,72000.0,72255.3,383.08562883
2026-04-10 13:00:00,72255.3,72418.0,71900.0,72315.4,518.5216045
